Type,Gene
protein_coding,ABHD16A
protein_coding,ABHD16B
protein_coding,ABHD17A
unprocessed_pseudogene,ABHD17AP1
unprocessed_pseudogene,ABHD17AP9
protein_coding,ABHD17B
protein_coding,ABHD17C
protein_coding,ABHD18
protein_coding,ABHD2
protein_coding,ABHD3
protein_coding,ABHD4
protein_coding,ABHD5
protein_coding,ABHD6
protein_coding,ABHD8
protein_coding,ABI1
protein_coding,ABI2
protein_coding,ABI3
protein_coding,ABI3BP
protein_coding,ABL1
protein_coding,ABL2
protein_coding,ABLIM1
protein_coding,ABLIM2
protein_coding,ABLIM3
processed_transcript,ABO
protein_coding,ABR
protein_coding;overexpressed_ribodepletion,ABRA
protein_coding,ABRACL
protein_coding,ABT1
protein_coding,ABTB1
protein_coding,ABTB2
protein_coding,ACAA1
protein_coding,ACAA2
protein_coding,ACACA
protein_coding,ACACB
protein_coding,ACAD10
protein_coding,ACAD11
protein_coding,ACAD8
protein_coding,ACAD9
protein_coding,ACADL
protein_coding,ACADM
protein_coding,ACADS
protein_coding,ACADSB
protein_coding,ACADVL
protein_coding,ACAN
protein_coding,ACAP1
protein_coding,ACAP2
protein_coding,ACAP3
protein_coding,ACAT1
protein_coding,ACAT2
protein_coding,ACBD3
protein_coding,ACBD4
protein_coding,ACBD5
protein_coding,ACBD6
protein_coding,ACBD7
protein_coding,ACCS
protein_coding,ACCSL
protein_coding,ACD
protein_coding,ACE
protein_coding,ACE2
protein_coding,ACER1
protein_coding,ACER2
protein_coding,ACER3
protein_coding,ACHE
protein_coding,ACIN1
protein_coding,ACKR1
protein_coding,ACKR2
protein_coding,ACKR3
protein_coding,ACKR4
protein_coding,ACLY
protein_coding,ACMSD
protein_coding,ACO1
protein_coding,ACO2
protein_coding,ACOD1
protein_coding,ACOT1
protein_coding,ACOT11
protein_coding,ACOT12
protein_coding,ACOT13
protein_coding,ACOT2
protein_coding,ACOT4
protein_coding,ACOT6
protein_coding,ACOT7
protein_coding,ACOT8
protein_coding,ACOT9
protein_coding,ACOX1
protein_coding,ACOX2
protein_coding,ACOX3
protein_coding,ACOXL
protein_coding,ACP1
protein_coding,ACP2
protein_coding,ACP5
protein_coding,ACP6
protein_coding,ACP7
protein_coding,ACPP
protein_coding,ACPT
protein_coding,ACR
protein_coding,ACRBP
protein_coding,ACRC
protein_coding,ACRV1
protein_coding,ACSBG1
protein_coding,ACSBG2
protein_coding,ACSF2
protein_coding,ACSF3
protein_coding,ACSL1
protein_coding,ACSL3
protein_coding,ACSL4
protein_coding,ACSL5
protein_coding,ACSL6
protein_coding,ACSM1
protein_coding,ACSM2A
protein_coding,ACSM2B
protein_coding,ACSM3
protein_coding,ACSM4
protein_coding,ACSM5
unprocessed_pseudogene,ACSM5P1
protein_coding,ACSM6
protein_coding,ACSS1
protein_coding,ACSS2
protein_coding,ACSS3
protein_coding,ACTA1
protein_coding,ACTA2
antisense,ACTA2-AS1
protein_coding,ACTB
protein_coding,ACTBL2
processed_pseudogene,ACTBP6
processed_pseudogene,ACTBP9
protein_coding,ACTC1
protein_coding,ACTG1
processed_pseudogene,ACTG1P1
processed_pseudogene,ACTG1P2
pseudogene,ACTG1P4
processed_pseudogene,ACTG1P9
protein_coding,ACTG2
protein_coding,ACTL10
protein_coding,ACTL6A
protein_coding,ACTL6B
protein_coding,ACTL7A
protein_coding,ACTL7B
protein_coding,ACTL8
protein_coding,ACTL9
protein_coding,ACTN1
antisense,ACTN1-AS1
protein_coding,ACTN2
polymorphic_pseudogene,ACTN3
protein_coding,ACTN4
processed_pseudogene,ACTP1
protein_coding,ACTR10
protein_coding,ACTR1A
protein_coding,ACTR1B
protein_coding,ACTR2
protein_coding,ACTR3
protein_coding,ACTR3B
pseudogene,ACTR3BP2
processed_pseudogene,ACTR3BP3
pseudogene,ACTR3BP5
protein_coding,ACTR3C
protein_coding,ACTR5
protein_coding,ACTR6
protein_coding,ACTR8
protein_coding,ACTRT1
protein_coding,ACTRT2
protein_coding,ACTRT3
protein_coding,ACVR1
protein_coding,ACVR1B
protein_coding,ACVR1C
protein_coding,ACVR2A
protein_coding,ACVR2B
antisense,ACVR2B-AS1
protein_coding,ACVRL1
protein_coding,ACY1
protein_coding,ACY3
protein_coding,ACYP1
protein_coding,ACYP2
protein_coding,ADA
protein_coding,ADAD1
protein_coding,ADAD2
protein_coding,ADAL
protein_coding,ADAM10
protein_coding,ADAM11
protein_coding,ADAM12
protein_coding,ADAM15
protein_coding,ADAM17
protein_coding,ADAM18
protein_coding,ADAM19
pseudogene,ADAM1A
protein_coding,ADAM2
protein_coding;overexpressed_ribodepletion,ADAM20
lincRNA,ADAM20P1
protein_coding,ADAM21
pseudogene;overexpressed_ribodepletion,ADAM21P1
protein_coding,ADAM22
protein_coding,ADAM23
protein_coding,ADAM28
protein_coding,ADAM29
protein_coding,ADAM30
protein_coding,ADAM32
protein_coding,ADAM33
pseudogene,ADAM3A
processed_pseudogene,ADAM3B
pseudogene,ADAM5
lincRNA,ADAM6
protein_coding,ADAM7
protein_coding,ADAM8
protein_coding,ADAM9
protein_coding,ADAMDEC1
protein_coding,ADAMTS1
protein_coding,ADAMTS10
protein_coding,ADAMTS12
protein_coding,ADAMTS13
protein_coding,ADAMTS14
protein_coding,ADAMTS15
protein_coding,ADAMTS16
protein_coding,ADAMTS17
protein_coding,ADAMTS18
protein_coding,ADAMTS19
antisense,ADAMTS19-AS1
protein_coding,ADAMTS2
protein_coding,ADAMTS20
protein_coding,ADAMTS3
protein_coding,ADAMTS4
protein_coding,ADAMTS5
protein_coding,ADAMTS6
protein_coding,ADAMTS7
pseudogene,ADAMTS7P1
protein_coding,ADAMTS8
protein_coding,ADAMTS9
antisense,ADAMTS9-AS1
antisense,ADAMTS9-AS2
protein_coding,ADAMTSL1
protein_coding,ADAMTSL2
protein_coding,ADAMTSL3
protein_coding,ADAMTSL4
protein_coding,ADAMTSL4-AS1
protein_coding,ADAMTSL5
protein_coding,ADAP1
protein_coding,ADAP2
protein_coding,ADAR
protein_coding,ADARB1
protein_coding,ADARB2
antisense,ADARB2-AS1
protein_coding,ADAT1
protein_coding,ADAT2
protein_coding,ADAT3
protein_coding,ADCK1
protein_coding,ADCK2
protein_coding,ADCK3
protein_coding,ADCK4
protein_coding,ADCK5
protein_coding,ADCY1
protein_coding,ADCY10
pseudogene,ADCY10P1
protein_coding,ADCY2
protein_coding,ADCY3
protein_coding,ADCY4
protein_coding,ADCY5
protein_coding,ADCY6
protein_coding,ADCY7
protein_coding,ADCY8
protein_coding,ADCY9
protein_coding,ADCYAP1
protein_coding,ADCYAP1R1
protein_coding,ADD1
protein_coding,ADD2
protein_coding,ADD3
processed_transcript,ADD3-AS1
protein_coding,ADGB
protein_coding,ADGRA1
protein_coding,ADGRA2
protein_coding,ADGRA3
protein_coding,ADGRB1
protein_coding,ADGRB2
protein_coding,ADGRB3
protein_coding,ADGRD1
protein_coding,ADGRD2
protein_coding,ADGRE1
protein_coding,ADGRE2
protein_coding,ADGRE3
transcribed_unprocessed_pseudogene,ADGRE4P
protein_coding,ADGRE5
protein_coding,ADGRF1
protein_coding,ADGRF2
protein_coding,ADGRF3
protein_coding,ADGRF4
protein_coding,ADGRF5
protein_coding,ADGRG1
protein_coding,ADGRG2
protein_coding,ADGRG3
protein_coding,ADGRG4
protein_coding,ADGRG5
protein_coding,ADGRG6
protein_coding,ADGRG7
protein_coding,ADGRL1
protein_coding,ADGRL2
protein_coding,ADGRL3
protein_coding,ADGRL4
protein_coding,ADGRV1
protein_coding,ADH1A
protein_coding,ADH1B
polymorphic_pseudogene,ADH1C
protein_coding,ADH4
protein_coding,ADH5
processed_pseudogene,ADH5P2
processed_pseudogene,ADH5P3
processed_pseudogene,ADH5P4
protein_coding,ADH6
protein_coding,ADH7
protein_coding,ADHFE1
protein_coding,ADI1
protein_coding,ADIG
protein_coding,ADIPOQ
antisense,ADIPOQ-AS1
protein_coding,ADIPOR1
protein_coding,ADIPOR2
protein_coding,ADIRF
processed_transcript,ADIRF-AS1
protein_coding,ADK
protein_coding,ADM
protein_coding,ADM2
protein_coding,ADM5
protein_coding,ADNP
protein_coding,ADNP2
protein_coding,ADO
protein_coding,ADORA1
protein_coding,ADORA2A
antisense,ADORA2A-AS1
protein_coding,ADORA2B
protein_coding,ADORA3
protein_coding,ADPGK
antisense,ADPGK-AS1
protein_coding,ADPRH
protein_coding,ADPRHL1
protein_coding,ADPRHL2
protein_coding,ADPRM
protein_coding,ADRA1A
protein_coding,ADRA1B
protein_coding,ADRA1D
protein_coding,ADRA2A
protein_coding,ADRA2B
protein_coding,ADRA2C
protein_coding,ADRB1
protein_coding,ADRB2
protein_coding,ADRB3
protein_coding,ADRM1
protein_coding,ADSL
protein_coding,ADSS
protein_coding,ADSSL1
protein_coding,ADTRP
protein_coding,AEBP1
protein_coding,AEBP2
protein_coding,AEN
protein_coding,AES
protein_coding,AFAP1
antisense,AFAP1-AS1
protein_coding,AFAP1L1
protein_coding,AFAP1L2
protein_coding,AFF1
protein_coding,AFF2
protein_coding,AFF3
protein_coding,AFF4
pseudogene,AFG3L1P
protein_coding,AFG3L2
processed_pseudogene,AFG3L2P1
protein_coding,AFM
protein_coding,AFMID
protein_coding,AFP
protein_coding,AFTPH
protein_coding,AGA
protein_coding,AGAP1
sense_intronic,AGAP1-IT1
processed_transcript,AGAP11
unprocessed_pseudogene,AGAP14P
protein_coding,AGAP2
protein_coding,AGAP2-AS1
protein_coding,AGAP3
protein_coding,AGAP4
protein_coding,AGAP5
protein_coding,AGAP6
protein_coding,AGAP9
protein_coding,AGBL1
antisense,AGBL1-AS1
protein_coding,AGBL2
protein_coding,AGBL3
protein_coding,AGBL4
sense_intronic,AGBL4-IT1
protein_coding,AGBL5
antisense,AGBL5-AS1
protein_coding;underexpressed_ribodepletion,AGER
protein_coding,AGFG1
protein_coding,AGFG2
protein_coding,AGGF1
processed_pseudogene,AGGF1P1
processed_pseudogene,AGGF1P10
processed_pseudogene,AGGF1P2
processed_pseudogene,AGGF1P3
processed_pseudogene,AGGF1P4
processed_pseudogene,AGGF1P5
processed_pseudogene,AGGF1P6
processed_pseudogene,AGGF1P7
processed_pseudogene,AGGF1P8
processed_pseudogene,AGGF1P9
protein_coding,AGK
protein_coding,AGL
protein_coding,AGMAT
protein_coding,AGMO
protein_coding,AGO1
protein_coding,AGO2
protein_coding,AGO3
protein_coding,AGO4
protein_coding,AGPAT1
protein_coding,AGPAT2
protein_coding,AGPAT3
protein_coding,AGPAT4
protein_coding,AGPAT5
protein_coding,AGPS
protein_coding,AGR2
protein_coding,AGR3
protein_coding,AGRN
protein_coding,AGRP
protein_coding,AGT
protein_coding,AGTPBP1
protein_coding,AGTR1
protein_coding,AGTR2
protein_coding,AGTRAP
protein_coding,AGXT
protein_coding,AGXT2
protein_coding,AHCTF1
pseudogene,AHCTF1P1
protein_coding,AHCY
protein_coding,AHCYL1
protein_coding,AHCYL2
protein_coding,AHDC1
protein_coding,AHI1
protein_coding,AHNAK
protein_coding,AHNAK2
protein_coding,AHR
protein_coding,AHRR
protein_coding,AHSA1
protein_coding,AHSA2
protein_coding,AHSG
protein_coding,AHSP
protein_coding,AICDA
protein_coding,AIDA
protein_coding,AIF1
protein_coding,AIF1L
protein_coding,AIFM1
protein_coding,AIFM2
protein_coding,AIFM3
protein_coding,AIG1
protein_coding,AIM1
protein_coding,AIM1L
protein_coding,AIM2
protein_coding,AIMP1
protein_coding,AIMP2
protein_coding,AIP
protein_coding,AIPL1
protein_coding,AIRE
antisense,AIRN
protein_coding,AJAP1
protein_coding,AJUBA
protein_coding,AK1
protein_coding,AK2
protein_coding,AK3
protein_coding,AK4
processed_pseudogene,AK4P1
processed_pseudogene,AK4P5
protein_coding,AK5
protein_coding,AK6
processed_pseudogene,AK6P1
processed_pseudogene,AK6P2
protein_coding,AK7
protein_coding,AK8
protein_coding,AK9
protein_coding,AKAP1
protein_coding,AKAP10
protein_coding,AKAP11
protein_coding,AKAP12
protein_coding,AKAP13
protein_coding,AKAP14
protein_coding,AKAP17A
protein_coding,AKAP2
protein_coding,AKAP3
protein_coding,AKAP4
protein_coding,AKAP5
protein_coding,AKAP6
protein_coding,AKAP7
protein_coding,AKAP8
protein_coding,AKAP8L
protein_coding,AKAP9
protein_coding,AKIP1
protein_coding,AKIRIN1
protein_coding,AKIRIN2
protein_coding,AKNA
protein_coding,AKNAD1
protein_coding,AKR1A1
protein_coding,AKR1B1
protein_coding,AKR1B10
protein_coding,AKR1B15
processed_pseudogene,AKR1B1P6
processed_pseudogene,AKR1B1P7
protein_coding,AKR1C1
protein_coding,AKR1C2
protein_coding,AKR1C3
protein_coding,AKR1C4
pseudogene,AKR1C6P
protein_coding,AKR1D1
protein_coding,AKR1E2
protein_coding,AKR7A2
pseudogene,AKR7A2P1
protein_coding,AKR7A3
polymorphic_pseudogene,AKR7L
protein_coding,AKT1
protein_coding;underexpressed_ribodepletion,AKT1S1
protein_coding,AKT2
protein_coding,AKT3
protein_coding,AKTIP
protein_coding,ALAD
protein_coding,ALAS1
protein_coding,ALAS2
protein_coding,ALB
protein_coding,ALCAM
protein_coding,ALDH16A1
protein_coding,ALDH18A1
protein_coding,ALDH1A1
protein_coding,ALDH1A2
protein_coding,ALDH1A3
protein_coding,ALDH1B1
protein_coding,ALDH1L1
antisense,ALDH1L1-AS1
antisense,ALDH1L1-AS2
protein_coding,ALDH1L2
protein_coding,ALDH2
protein_coding,ALDH3A1
protein_coding,ALDH3A2
protein_coding,ALDH3B1
protein_coding,ALDH3B2
protein_coding,ALDH4A1
protein_coding,ALDH5A1
protein_coding,ALDH6A1
protein_coding,ALDH7A1
protein_coding,ALDH8A1
protein_coding,ALDH9A1
protein_coding,ALDOA
processed_pseudogene,ALDOAP1
processed_pseudogene,ALDOAP2
protein_coding,ALDOB
protein_coding,ALDOC
protein_coding,ALG1
protein_coding,ALG10
protein_coding,ALG10B
protein_coding,ALG11
protein_coding,ALG12
protein_coding,ALG13
protein_coding,ALG14
protein_coding,ALG1L
unprocessed_pseudogene,ALG1L14P
pseudogene,ALG1L2
unprocessed_pseudogene,ALG1L6P
pseudogene,ALG1L9P
protein_coding,ALG2
protein_coding,ALG3
protein_coding,ALG5
protein_coding,ALG6
protein_coding,ALG8
protein_coding,ALG9
protein_coding,ALK
protein_coding,ALKBH1
protein_coding,ALKBH2
protein_coding,ALKBH3
antisense,ALKBH3-AS1
protein_coding,ALKBH4
protein_coding,ALKBH5
protein_coding,ALKBH6
protein_coding,ALKBH7
protein_coding,ALKBH8
protein_coding,ALLC
protein_coding;overexpressed_ribodepletion,ALMS1
sense_intronic,ALMS1-IT1
protein_coding,ALOX12
protein_coding,ALOX12B
unprocessed_pseudogene,ALOX12P1
pseudogene,ALOX12P2
protein_coding,ALOX15
protein_coding,ALOX15B
protein_coding,ALOX5
protein_coding,ALOX5AP
protein_coding,ALOXE3
protein_coding,ALPI
protein_coding,ALPK1
protein_coding,ALPK2
protein_coding,ALPK3
protein_coding,ALPL
protein_coding,ALPP
protein_coding,ALPPL2
protein_coding,ALS2
protein_coding,ALS2CL
protein_coding,ALS2CR11
protein_coding,ALS2CR12
protein_coding,ALX1
protein_coding,ALX3
protein_coding,ALX4
protein_coding,ALYREF
protein_coding,AMACR
protein_coding,AMBN
protein_coding,AMBP
protein_coding,AMBRA1
protein_coding,AMD1
protein_coding,AMDHD1
protein_coding,AMDHD2
protein_coding,AMELX
protein_coding,AMELY
protein_coding,AMER1
protein_coding,AMER2
protein_coding,AMER3
protein_coding,AMFR
protein_coding,AMH
protein_coding,AMHR2
protein_coding,AMIGO1
protein_coding,AMIGO2
protein_coding,AMIGO3
protein_coding,AMMECR1
protein_coding,AMMECR1L
protein_coding,AMN
protein_coding,AMN1
protein_coding,AMOT
protein_coding,AMOTL1
protein_coding,AMOTL2
protein_coding,AMPD1
protein_coding,AMPD2
protein_coding,AMPD3
protein_coding,AMPH
protein_coding,AMT
protein_coding,AMTN
protein_coding,AMY1A
protein_coding,AMY1B
protein_coding,AMY1C
protein_coding,AMY2A
protein_coding,AMY2B
unprocessed_pseudogene,AMYP1
protein_coding,AMZ1
protein_coding,AMZ2
pseudogene,AMZ2P1
protein_coding,ANAPC1
protein_coding,ANAPC10
protein_coding,ANAPC11
protein_coding,ANAPC13
protein_coding,ANAPC15
protein_coding,ANAPC16
pseudogene,ANAPC1P1
protein_coding,ANAPC2
protein_coding,ANAPC4
protein_coding,ANAPC5
protein_coding,ANAPC7
protein_coding,ANG
protein_coding,ANGEL1
protein_coding,ANGEL2
protein_coding,ANGPT1
protein_coding,ANGPT2
protein_coding,ANGPT4
protein_coding,ANGPTL1
protein_coding,ANGPTL2
protein_coding,ANGPTL3
protein_coding,ANGPTL4
protein_coding,ANGPTL5
protein_coding,ANGPTL6
protein_coding;overexpressed_ribodepletion,ANGPTL7
protein_coding,ANHX
protein_coding,ANK1
protein_coding,ANK2
protein_coding,ANK3
protein_coding,ANKAR
protein_coding,ANKDD1A
protein_coding,ANKDD1B
protein_coding,ANKEF1
protein_coding,ANKFN1
protein_coding,ANKFY1
protein_coding,ANKH
protein_coding,ANKHD1
protein_coding,ANKHD1-EIF4EBP3
protein_coding,ANKIB1
protein_coding,ANKK1
protein_coding,ANKLE1
protein_coding,ANKLE2
protein_coding,ANKMY1
protein_coding,ANKMY2
protein_coding,ANKRA2
protein_coding,ANKRD1
protein_coding,ANKRD10
protein_coding,ANKRD11
protein_coding,ANKRD12
protein_coding,ANKRD13A
protein_coding,ANKRD13B
protein_coding,ANKRD13C
protein_coding,ANKRD13D
protein_coding,ANKRD16
protein_coding,ANKRD17
protein_coding,ANKRD18A
protein_coding,ANKRD18B
pseudogene,ANKRD18CP
pseudogene,ANKRD18DP
pseudogene,ANKRD19P
protein_coding,ANKRD2
protein_coding,ANKRD20A1
pseudogene,ANKRD20A11P
pseudogene,ANKRD20A12P
pseudogene,ANKRD20A19P
protein_coding,ANKRD20A2
protein_coding,ANKRD20A3
protein_coding,ANKRD20A4
pseudogene,ANKRD20A5P
unprocessed_pseudogene,ANKRD20A7P
pseudogene,ANKRD20A8P
protein_coding,ANKRD22
protein_coding,ANKRD23
protein_coding,ANKRD24
protein_coding,ANKRD26
pseudogene,ANKRD26P1
pseudogene,ANKRD26P3
protein_coding,ANKRD27
protein_coding,ANKRD28
protein_coding,ANKRD29
protein_coding,ANKRD30A
protein_coding,ANKRD30B
protein_coding,ANKRD30BL
pseudogene,ANKRD30BP2
pseudogene,ANKRD30BP3
protein_coding,ANKRD31
protein_coding,ANKRD33
protein_coding,ANKRD33B
protein_coding,ANKRD34A
protein_coding,ANKRD34B
protein_coding,ANKRD34C
protein_coding,ANKRD35
protein_coding;overexpressed_ribodepletion,ANKRD36
pseudogene;overexpressed_ribodepletion,ANKRD36B
pseudogene,ANKRD36BP1
pseudogene,ANKRD36BP2
protein_coding,ANKRD36C
protein_coding,ANKRD37
protein_coding,ANKRD39
protein_coding,ANKRD40
protein_coding,ANKRD42
protein_coding,ANKRD44
sense_intronic,ANKRD44-IT1
protein_coding,ANKRD45
protein_coding,ANKRD46
protein_coding,ANKRD49
protein_coding,ANKRD50
protein_coding,ANKRD52
protein_coding,ANKRD53
protein_coding,ANKRD54
protein_coding,ANKRD55
protein_coding,ANKRD6
protein_coding,ANKRD60
protein_coding,ANKRD61
protein_coding,ANKRD62
transcribed_unprocessed_pseudogene,ANKRD62P1
processed_transcript,ANKRD62P1-PARP4P3
protein_coding,ANKRD63
protein_coding,ANKRD65
protein_coding,ANKRD66
protein_coding,ANKRD7
protein_coding,ANKRD9
protein_coding,ANKS1A
protein_coding,ANKS1B
protein_coding,ANKS3
protein_coding,ANKS4B
protein_coding,ANKS6
protein_coding,ANKUB1
protein_coding,ANKZF1
protein_coding,ANLN
protein_coding,ANO1
antisense,ANO1-AS2
protein_coding,ANO10
protein_coding,ANO2
protein_coding,ANO3
protein_coding,ANO4
protein_coding,ANO5
protein_coding,ANO6
protein_coding,ANO7
pseudogene,ANO7P1
protein_coding,ANO8
protein_coding,ANO9
protein_coding,ANOS1
protein_coding,ANP32A
pseudogene,ANP32AP1
protein_coding,ANP32B
transcribed_processed_pseudogene,ANP32BP1
pseudogene,ANP32C
protein_coding,ANP32D
protein_coding,ANP32E
protein_coding,ANPEP
protein_coding,ANTXR1
protein_coding,ANTXR2
protein_coding,ANTXRL
pseudogene,ANTXRLP1
protein_coding,ANXA1
protein_coding,ANXA10
protein_coding,ANXA11
protein_coding,ANXA13
protein_coding,ANXA2
pseudogene,ANXA2P1
pseudogene,ANXA2P2
pseudogene,ANXA2P3
protein_coding,ANXA2R
protein_coding,ANXA3
protein_coding,ANXA4
protein_coding,ANXA5
protein_coding,ANXA6
protein_coding,ANXA7
protein_coding,ANXA8
protein_coding,ANXA8L1
protein_coding,ANXA9
protein_coding,AOAH
sense_intronic,AOAH-IT1
protein_coding,AOC1
protein_coding,AOC2
protein_coding,AOC3
pseudogene,AOC4P
protein_coding,AOX1
transcribed_unprocessed_pseudogene,AOX2P
transcribed_unprocessed_pseudogene,AOX3P
processed_transcript,AOX3P-AOX2P
protein_coding,AP1AR
protein_coding,AP1B1
pseudogene,AP1B1P1
protein_coding,AP1G1
protein_coding,AP1G2
protein_coding,AP1M1
protein_coding,AP1M2
protein_coding,AP1S1
protein_coding,AP1S2
protein_coding,AP1S3
protein_coding,AP2A1
protein_coding,AP2A2
protein_coding,AP2B1
protein_coding,AP2M1
protein_coding,AP2S1
protein_coding,AP3B1
protein_coding,AP3B2
protein_coding,AP3D1
protein_coding,AP3M1
protein_coding,AP3M2
protein_coding,AP3S1
protein_coding,AP3S2
protein_coding,AP4B1
antisense,AP4B1-AS1
protein_coding,AP4E1
protein_coding,AP4M1
protein_coding,AP4S1
protein_coding,AP5B1
protein_coding,AP5M1
protein_coding,AP5S1
protein_coding,AP5Z1
protein_coding,APAF1
protein_coding,APBA1
protein_coding,APBA2
protein_coding,APBA3
protein_coding,APBB1
protein_coding,APBB1IP
protein_coding,APBB2
protein_coding,APBB3
protein_coding,APC
protein_coding;overexpressed_ribodepletion,APC2
protein_coding,APCDD1
protein_coding,APCDD1L
processed_transcript,APCDD1L-AS1
protein_coding,APCS
protein_coding,APEH
protein_coding,APELA
protein_coding,APEX1
protein_coding,APEX2
protein_coding,APH1A
protein_coding,APH1B
protein_coding,API5
protein_coding,APIP
protein_coding,APITD1
protein_coding,APITD1-CORT
protein_coding,APLF
protein_coding,APLN
protein_coding,APLNR
protein_coding,APLP1
protein_coding,APLP2
protein_coding,APMAP
protein_coding,APOA1
antisense,APOA1-AS
protein_coding,APOA2
protein_coding,APOA4
protein_coding,APOA5
protein_coding,APOB
protein_coding,APOBEC1
protein_coding;overexpressed_ribodepletion,APOBEC2
protein_coding,APOBEC3A
protein_coding,APOBEC3B
antisense,APOBEC3B-AS1
protein_coding,APOBEC3C
protein_coding,APOBEC3D
protein_coding,APOBEC3F
protein_coding,APOBEC3G
protein_coding,APOBEC3H
protein_coding;overexpressed_ribodepletion,APOBEC4
protein_coding,APOBR
protein_coding,APOC1
pseudogene,APOC1P1
protein_coding,APOC2
protein_coding,APOC3
protein_coding,APOC4
protein_coding,APOC4-APOC2
protein_coding,APOD
protein_coding,APOE
protein_coding,APOF
protein_coding,APOH
protein_coding,APOL1
protein_coding,APOL2
protein_coding,APOL3
protein_coding,APOL4
protein_coding,APOL5
protein_coding,APOL6
protein_coding,APOLD1
protein_coding,APOM
protein_coding,APOO
protein_coding,APOOL
pseudogene,APOOP5
protein_coding,APOPT1
protein_coding,APP
protein_coding,APPBP2
protein_coding,APPL1
protein_coding,APPL2
protein_coding,APRT
protein_coding,APTX
protein_coding,AQP1
protein_coding,AQP10
protein_coding,AQP11
protein_coding,AQP12A
protein_coding,AQP12B
protein_coding,AQP2
protein_coding,AQP3
protein_coding,AQP4
antisense,AQP4-AS1
protein_coding,AQP5
protein_coding,AQP6
protein_coding,AQP7
pseudogene,AQP7P1
unprocessed_pseudogene,AQP7P2
pseudogene,AQP7P3
unprocessed_pseudogene,AQP7P4
protein_coding,AQP8
protein_coding,AQP9
protein_coding,AQR
protein_coding,AR
protein_coding,ARAF
protein_coding,ARAP1
protein_coding,ARAP2
protein_coding,ARAP3
protein_coding,ARC
protein_coding,ARCN1
protein_coding,AREG
protein_coding,AREL1
protein_coding,ARF1
protein_coding,ARF3
protein_coding,ARF4
antisense,ARF4-AS1
processed_pseudogene,ARF4P2
protein_coding,ARF5
protein_coding,ARF6
protein_coding,ARFGAP1
protein_coding,ARFGAP2
protein_coding,ARFGAP3
protein_coding,ARFGEF1
protein_coding,ARFGEF2
protein_coding,ARFGEF3
protein_coding,ARFIP1
protein_coding,ARFIP2
protein_coding,ARFRP1
protein_coding,ARG1
protein_coding,ARG2
protein_coding,ARGFX
processed_pseudogene,ARGFXP1
pseudogene,ARGFXP2
protein_coding,ARGLU1
protein_coding,ARHGAP1
protein_coding,ARHGAP10
protein_coding,ARHGAP11A
protein_coding,ARHGAP11B
protein_coding,ARHGAP12
protein_coding,ARHGAP15
protein_coding,ARHGAP17
protein_coding,ARHGAP18
